studentID,name,age,email,phone,status,passingGrade,honorsEligible
STU032,Yaa Fosu,19,yfosu@ug.edu.gh,0276677889,Inactive,61,false
STU033,Kofi Frimpong,22,kfrimpong@knust.edu.gh,0509900112,Active,83,true
STU034,Ama Gyamfi,21,agyamfi@ucc.edu.gh,0241122334,Active,69,false
STU035,Akwasi Hammond,20,ahammond@ug.edu.gh,0544455667,Inactive,47,false
STU036,Adwoa Kumi,23,akumi@student.knust.edu.gh,0206677889,Active,87,true
STU037,Yaw Mensah,19,ymensah@ucc.edu.gh,0270011223,Active,76,true
STU038,Afia Nkrumah,21,ankrumah@ug.edu.gh,0503344556,Inactive,64,false
STU039,Kwesi Ofori,22,kofori@knust.edu.gh,0247788990,Active,82,true
STU040,Akosua Opoku,20,aopoku@ucc.edu.gh,0549900112,Active,71,false
STU041,Kwabena Owusu,21,kowusu@ug.edu.gh,0201122334,Inactive,56,false
STU042,Maame Quartey,19,mquartey@student.knust.edu.gh,0274455667,Active,93,true
STU043,Kojo Sarkodie,23,ksarkodie@ucc.edu.gh,0506677889,Active,67,false
STU044,Esi Tetteh,22,etetteh@ug.edu.gh,0240011223,Inactive,60,false
STU045,Kwaku Yeboah,20,kyeboah@knust.edu.gh,0543344556,Active,84,true
STU046,Abena Adu,21,aadu@ucc.edu.gh,0207788990,Active,72,false
STU047,Yaa Amoako,19,yamoako@ug.edu.gh,0279900112,Inactive,49,false
STU048,Kofi Anokye,22,kanokye@student.knust.edu.gh,0501122334,Active,86,true
STU049,Ama Asiedu,20,aasiedu@ucc.edu.gh,0244455667,Active,78,true
STU050,Akwasi Attah,23,aatah@ug.edu.gh,0546677889,Inactive,63,false
STU051,Adwoa Baffoe,21,abaffoe@knust.edu.gh,0200011223,Active,80,true
STU052,Yaw Boakye,19,yboakye@ucc.edu.gh,0273344556,Active,70,false
STU053,Afia Danso,22,fdanso@ug.edu.gh,0507788990,Inactive,54,false
STU054,Kwesi Eshun,20,keshun@student.knust.edu.gh,0249900112,Active,90,true
STU055,Akosua Frempong,21,afrempong@ucc.edu.gh,0541122334,Active,75,true
STU056,Kwabena Gyan,19,kgyan@ug.edu.gh,0204455667,Inactive,58,false
STU057,Maame Hagan,23,mhagan@knust.edu.gh,0276677889,Active,83,true
STU058,Kojo Issaka,22,kissaka@ucc.edu.gh,0509900112,Active,69,false
STU059,Esi Kwarteng,20,ekwarteng@ug.edu.gh,0241122334,Inactive,51,false
STU060,Kwaku Lamptey,21,klamptey@student.knust.edu.gh,0544455667,Active,88,true
STU061,Abena Manu,19,amanu@ucc.edu.gh,0206677889,Active,77,true
STU062,Yaa Nti,22,ynti@ug.edu.gh,0270011223,Inactive,65,false
STU063,Kofi Okyere,20,kokyere@knust.edu.gh,0503344556,Active,81,true
STU064,Ama Poku,21,apoku@ucc.edu.gh,0247788990,Active,73,false
STU065,Akwasi Quansah,23,aquansah@ug.edu.gh,0549900112,Inactive,46,false
STU066,Adwoa Sackey,19,asackey@student.knust.edu.gh,0201122334,Active,94,true
STU067,Yaw Tawiah,22,ytawiah@ucc.edu.gh,0274455667,Active,68,false
STU068,Afia Twum,21,atwum@ug.edu.gh,0506677889,Inactive,62,false
STU069,Kwesi Yawson,20,kyawson@knust.edu.gh,0240011223,Active,79,true
STU070,Akosua Zanu,19,azanu@ucc.edu.gh,0543344556,Active,74,false
STU071,Kwabena Ababio,23,kababio@ug.edu.gh,0207788990,Inactive,57,false
STU072,Maame Bempah,21,mbempah@student.knust.edu.gh,0279900112,Active,85,true
STU073,Kojo Crentsil,20,kcrentsil@ucc.edu.gh,0501122334,Active,76,true
STU074,Esi Donkor,22,edonkor@ug.edu.gh,0244455667,Inactive,59,false
STU075,Kwaku Ewusi,19,kewusi@knust.edu.gh,0546677889,Active,82,true
STU076,Abena Fynn,21,afynn@ucc.edu.gh,0200011223,Active,71,false
STU077,Yaa Ghartey,23,yghartey@ug.edu.gh,0273344556,Inactive,53,false
STU078,Kofi Hayford,20,khayford@student.knust.edu.gh,0507788990,Active,89,true
STU079,Ama Inkumsah,22,ainkumsah@ucc.edu.gh,0249900112,Active,80,true
STU080,Akwasi Jumah,19,ajumah@ug.edu.gh,0541122334,Inactive,66,false
STU081,Adwoa Koney,21,akoney@knust.edu.gh,0204455667,Active,75,true
STU082,Yaw Lartey,23,ylartey@ucc.edu.gh,0276677889,Active,70,false
STU083,Afia Mends,20,amends@ug.edu.gh,0509900112,Inactive,48,false
STU084,Kwesi Nartey,22,knartey@student.knust.edu.gh,0241122334,Active,91,true
STU085,Akosua Odamtten,19,aodamtten@ucc.edu.gh,0544455667,Active,78,true
STU086,Kwabena Pappoe,21,kpappoe@ug.edu.gh,0206677889,Inactive,61,false
STU087,Maame Ribeiro,20,mribeiro@knust.edu.gh,0270011223,Active,84,true
STU088,Kojo Sam,23,ksam@ucc.edu.gh,0503344556,Active,72,false
STU089,Esi Tagoe,22,etagoe@ug.edu.gh,0247788990,Inactive,55,false
STU090,Kwaku Vanderpuye,19,kvanderpuye@student.knust.edu.gh,0549900112,Active,87,true
STU091,Abena Wilson,21,awilson@ucc.edu.gh,0201122334,Active,79,true
STU092,Yaa Acheampong,20,yacheampong@ug.edu.gh,0274455667,Inactive,64,false
STU093,Kofi Adomako,23,kadomako@knust.edu.gh,0506677889,Active,81,true
STU094,Ama Bediako,22,abediako@ucc.edu.gh,0240011223,Active,69,false
STU095,Akwasi Cobbinah,19,acobbinah@ug.edu.gh,0543344556,Inactive,50,false
STU096,Adwoa Danquah,21,adanquah@student.knust.edu.gh,0207788990,Active,92,true
STU097,Yaw Ennin,20,yennin@ucc.edu.gh,0279900112,Active,76,true
STU098,Afia Forson,23,aforson@ug.edu.gh,0501122334,Inactive,67,false
STU099,Kwesi Gyasi,22,kgyasi@knust.edu.gh,0244455667,Active,83,true
STU100,Akosua Hinson,19,ahinson@ucc.edu.gh,0546677889,Active,77,true
